date,forecast,lower_ci,upper_ci
2024-08-07,84.10960653488702,73.03370577666317,95.18550729311087
2024-08-08,81.98152932082075,63.96009151410571,100.0029671275358
2024-08-09,80.3818936468249,58.40318434757857,102.36060294607124
2024-08-10,78.83299297659232,54.19471292450291,103.47127302868174
2024-08-11,76.49445141675068,49.958576797333855,103.03032603616751
2024-08-12,76.15857679086486,48.22636585029722,104.0907877314325
2024-08-13,75.5235503004987,46.54526499273129,104.5018356082661
2024-08-14,74.55305048622861,44.781088599389086,104.32501237306815
2024-08-15,74.70273025457799,44.32360146401878,105.0818590451372
2024-08-16,74.6387748446967,43.792429977251054,105.48511971214234
2024-08-17,74.20284485026602,42.99543927287829,105.41025042765375
2024-08-18,73.45820241990228,41.970888634048634,104.94551620575592
2024-08-19,73.95761150427373,42.20416385727939,105.71105915126807
2024-08-20,72.99689170841124,41.0182762408737,104.97550717594878
2024-08-21,72.4303813792458,40.27650522080258,104.58425753768901
2024-08-22,71.795809055659,39.505324926259554,104.08629318505845
2024-08-23,70.26645907132482,37.86937953672414,102.6635386059255
2024-08-24,70.64672871491763,38.16655338325739,103.12690404657786
2024-08-25,70.6454985099187,38.10118055489232,103.18981646494507
2024-08-26,70.23591602538964,37.64144676455172,102.83038528622757
2024-08-27,70.88201437186544,38.24831811619323,103.51571062753764
2024-08-28,71.25739536976252,38.59300761651961,103.92178312300544
2024-08-29,71.2102833763182,38.52187674717433,103.89869000546207
2024-08-30,70.80974954978154,38.102542544757526,103.51695655480556
2024-08-31,71.61369888416056,38.877462334482026,104.34993543383908
2024-09-01,70.92250086962869,38.15728496721515,103.68771677204224
2024-09-02,70.59452055615029,37.806624572076046,103.38241654022453
2024-09-03,70.17105016318577,37.365401043019745,102.97669928335179
2024-09-04,68.828527924551,36.008980436471276,101.64807541263072
2024-09-05,69.37414236845063,36.54388373590401,102.20440100099725
2024-09-06,69.51924429889635,36.68143401277176,102.35705458502095
2024-09-07,69.2391675129079,36.39544364888304,102.08289137693276
2024-09-08,69.99987995903804,37.151525055069975,102.8482348630061
2024-09-09,70.47669581260257,37.62471412121763,103.3286775039875
2024-09-10,70.51935488550441,37.66453280657024,103.37417696443859
2024-09-11,70.19826953158497,37.34122290166034,103.05531616150961
2024-09-12,71.07253171907045,38.2070370791655,103.9380263589754
2024-09-13,70.4435614245829,37.567873776018516,103.31924907314728
2024-09-14,70.17065339121876,37.28698431393304,103.0543224685045
2024-09-15,69.7959226280338,36.90600348215883,102.68584177390875
2024-09-16,68.49653554752426,35.601721891171444,101.39134920387707
2024-09-17,69.08032512477853,36.18185364059111,101.97879660896595
2024-09-18,69.25921250704555,36.3587213470575,102.1597036670336
2024-09-19,69.00903625196462,36.10696328915156,101.91110921477767
2024-09-20,69.79621102730322,36.89289918088422,102.6995228737222
2024-09-21,70.296446360251,37.3921641968797,103.2007285236223
2024-09-22,70.35983195387071,37.45478981387615,103.26487409386527
2024-09-23,70.05708981988535,37.15145244364336,102.96272719612733
2024-09-24,70.94758597746788,38.03652636542521,103.85864558951056
2024-09-25,70.33298294162189,37.4147176134663,103.25124826977748
2024-09-26,70.07279010482642,37.148882028475406,102.99669818117744
2024-09-27,69.7093124434205,36.78098538392479,102.63763950291622
2024-09-28,68.41988449322923,35.4880966988623,101.35167228759616
2024-09-29,69.01248802050758,36.078166113101936,101.94680992791322
2024-09-30,69.19917585447511,36.26371596432194,102.1346357446283
2024-10-01,68.95590309289776,36.019551923609825,101.89225426218569
2024-10-02,69.74918754295568,36.81213830390828,102.68623678200308
2024-10-03,70.25483001145834,37.31723402364104,103.19242599927563
2024-10-04,70.323000985029,37.384976765131576,103.26102520492643
2024-10-05,70.02449396981265,37.086134342942366,102.96285359668295
2024-10-06,70.91873825840493,37.97556616200247,103.86191035480738
2024-10-07,70.30745236354895,37.35769638311165,103.25720834398624
2024-10-08,70.05019523639622,37.095283372656255,103.00510710013619
2024-10-09,69.68931571330654,36.730366089499746,102.64826533711334
2024-10-10,68.4021871467505,35.4400753109339,101.3642989825671
2024-10-11,68.99682565618085,36.03241358900776,101.96123772335393
2024-10-12,69.18531447381005,36.219947416671125,102.15068153094899
2024-10-13,68.94363560441813,35.97752058841436,101.9097506204219
2024-10-14,69.73833066821614,36.77162983252581,102.70503150390647
2024-10-15,70.24522154683203,37.27806187875905,103.21238121490501
2024-10-16,70.31449737835673,37.34697833650453,103.28201642020895
2024-10-17,70.01696817570831,37.04916765873072,102.98476869268592
2024-10-18,70.91207784017489,37.93960373843145,103.88455194191832
2024-10-19,70.30155781336806,37.32264371919747,103.28047190753865
2024-10-20,70.04497848864332,37.06102117324406,103.02893580404259
2024-10-21,69.68469882884848,36.69679197070801,102.67260568698896
2024-10-22,68.39810114851775,35.40710115903702,101.3891011379985
2024-10-23,68.99320949863787,35.99996328329479,101.98645571398094
2024-10-24,69.18211413092423,36.18795461915888,102.17627364268958
2024-10-25,68.94080326250132,35.94592844650738,101.93567807849526
2024-10-26,69.73582401157965,36.74038895149618,102.73125907166312
2024-10-27,70.24300312558285,37.247129264479675,103.23887698668602
2024-10-28,70.31253404888942,37.31631650311185,103.30875159466699
2024-10-29,70.01523060553374,37.018743872825844,103.01171733824165
2024-10-30,70.91054006968766,37.90941460444494,103.91166553493036
2024-10-31,70.30019686800539,37.29266864275099,103.30772509325979
2024-11-01,70.04377403564102,37.03123174043147,103.05631633085056
2024-11-02,69.6836328734659,36.6671638614714,102.70010188546038
2024-11-03,68.39715776519313,35.37761349611273,101.41670203427353
