Model,MAE,RMSE,NRMSE (%),MAPE (%),R² Score
ARIMA,14.511002239492598,21.412915173953646,37.56651784904149,27.31187105719884,-0.6541624062205023
SARIMA,15.170460615523794,16.488486945111916,28.92717007914371,22.96424418506209,0.01918259761759744
SARIMA Improvement,-4.54%,+23.00%,+23.00%,+15.92%,+67.33%
