date,humidity
2023-11-07,55
2023-11-08,69
2023-11-09,76
2023-11-10,73
2023-11-11,63
2023-11-12,52
2023-11-13,56
2023-11-14,64
2023-11-15,64
2023-11-16,60
2023-11-17,57
2023-11-18,63
2023-11-19,63
2023-11-20,58
2023-11-21,58
2023-11-22,51
2023-11-23,53
2023-11-24,59
2023-11-25,66
2023-11-26,78
2023-11-27,75
2023-11-28,73
2023-11-29,70
2023-11-30,77
2023-12-01,79
2023-12-02,75
2023-12-03,66
2023-12-04,65
2023-12-05,61
2023-12-06,65
2023-12-07,65
2023-12-08,64
2023-12-09,62
2023-12-10,60
2023-12-11,57
2023-12-12,60
2023-12-13,61
2023-12-14,60
2023-12-15,55
2023-12-16,56
2023-12-17,51
2023-12-18,49
2023-12-19,48
2023-12-20,49
2023-12-21,52
2023-12-22,60
2023-12-23,58
2023-12-24,53
2023-12-25,53
2023-12-26,55
2023-12-27,53
2023-12-28,60
2023-12-29,64
2023-12-30,66
2023-12-31,61
2024-01-01,64
2024-01-02,66
2024-01-03,65
2024-01-04,72
2024-01-05,71
2024-01-06,60
2024-01-07,62
2024-01-08,56
2024-01-09,69
2024-01-10,73
2024-01-11,64
2024-01-12,59
2024-01-13,58
2024-01-14,51
2024-01-15,43
2024-01-16,60
2024-01-17,67
2024-01-18,67
2024-01-19,68
2024-01-20,67
2024-01-21,54
2024-01-22,54
2024-01-23,40
2024-01-24,39
2024-01-25,43
2024-01-26,47
2024-01-27,45
2024-01-28,45
2024-01-29,43
2024-01-30,50
2024-01-31,59
2024-02-01,66
2024-02-02,64
2024-02-03,48
2024-02-04,50
2024-02-05,51
2024-02-06,51
2024-02-07,54
2024-02-08,49
2024-02-09,49
2024-02-10,40
2024-02-11,44
2024-02-12,48
2024-02-13,42
2024-02-14,39
2024-02-15,42
2024-02-16,50
2024-02-17,52
2024-02-18,49
2024-02-19,48
2024-02-20,55
2024-02-21,72
2024-02-22,75
2024-02-23,59
2024-02-24,35
2024-02-25,30
2024-02-26,45
2024-02-27,47
2024-02-28,37
2024-02-29,46
2024-03-01,55
2024-03-02,74
2024-03-03,72
2024-03-04,61
2024-03-05,47
2024-03-06,32
2024-03-07,32
2024-03-08,29
2024-03-09,27
2024-03-10,29
2024-03-11,39
2024-03-12,39
2024-03-13,58
2024-03-14,62
2024-03-15,70
2024-03-16,71
2024-03-17,70
2024-03-18,74
2024-03-19,60
2024-03-20,29
2024-03-21,25
2024-03-22,60
2024-03-23,65
2024-03-24,68
2024-03-25,66
2024-03-26,64
2024-03-27,72
2024-03-28,73
2024-03-29,64
2024-03-30,58
2024-03-31,49
2024-04-01,58
2024-04-02,67
2024-04-03,64
2024-04-04,65
2024-04-05,56
2024-04-06,39
2024-04-07,42
2024-04-08,60
2024-04-09,69
2024-04-10,72
2024-04-11,66
2024-04-12,60
2024-04-13,69
2024-04-14,74
2024-04-15,56
2024-04-16,41
2024-04-17,61
2024-04-18,68
2024-04-19,61
2024-04-20,52
2024-04-21,55
2024-04-22,60
2024-04-23,62
2024-04-24,65
2024-04-25,63
2024-04-26,57
2024-04-27,51
2024-04-28,39
2024-04-29,36
2024-04-30,43
2024-05-01,56
2024-05-02,70
2024-05-03,73
2024-05-04,75
2024-05-05,69
2024-05-06,72
2024-05-07,74
2024-05-08,73
2024-05-09,76
2024-05-10,73
2024-05-11,73
2024-05-12,70
2024-05-13,66
2024-05-14,61
2024-05-15,63
2024-05-16,61
2024-05-17,65
2024-05-18,75
2024-05-19,74
2024-05-20,71
2024-05-21,71
2024-05-22,75
2024-05-23,76
2024-05-24,73
2024-05-25,71
2024-05-26,66
2024-05-27,70
2024-05-28,67
2024-05-29,62
2024-05-30,63
2024-05-31,75
2024-06-01,72
2024-06-02,67
2024-06-03,68
2024-06-04,77
2024-06-05,79
2024-06-06,79
2024-06-07,75
2024-06-08,73
2024-06-09,82
2024-06-10,88
2024-06-11,89
2024-06-12,87
2024-06-13,86
2024-06-14,87
2024-06-15,84
2024-06-16,82
2024-06-17,85
2024-06-18,88
2024-06-19,87
2024-06-20,90
2024-06-21,86
2024-06-22,86
2024-06-23,87
2024-06-24,86
2024-06-25,85
2024-06-26,87
2024-06-27,91
2024-06-28,90
2024-06-29,89
2024-06-30,88
2024-07-01,83
2024-07-02,82
2024-07-03,86
2024-07-04,87
2024-07-05,88
2024-07-06,87
2024-07-07,90
2024-07-08,90
2024-07-09,93
2024-07-10,88
2024-07-11,91
2024-07-12,93
2024-07-13,92
2024-07-14,94
2024-07-15,90
2024-07-16,89
2024-07-17,91
2024-07-18,91
2024-07-19,92
2024-07-20,91
2024-07-21,91
2024-07-22,91
2024-07-23,91
2024-07-24,91
2024-07-25,90
2024-07-26,88
2024-07-27,84
2024-07-28,88
2024-07-29,90
2024-07-30,89
2024-07-31,88
2024-08-01,87
2024-08-02,87
2024-08-03,88
2024-08-04,89
2024-08-05,85
2024-08-06,84
2024-08-07,85
2024-08-08,84
2024-08-09,90
2024-08-10,86
2024-08-11,83
2024-08-12,85
2024-08-13,86
2024-08-14,84
2024-08-15,84
2024-08-16,84
2024-08-17,84
2024-08-18,85
2024-08-19,90
2024-08-20,90
2024-08-21,87
2024-08-22,85
2024-08-23,90
2024-08-24,94
2024-08-25,89
2024-08-26,89
2024-08-27,88
2024-08-28,87
2024-08-29,86
2024-08-30,86
2024-08-31,85
2024-09-01,86
2024-09-02,91
2024-09-03,90
2024-09-04,88
2024-09-05,88
2024-09-06,88
2024-09-07,88
2024-09-08,87
2024-09-09,86
2024-09-10,87
2024-09-11,86
2024-09-12,87
2024-09-13,87
2024-09-14,89
2024-09-15,88
2024-09-16,87
2024-09-17,86
2024-09-18,83
2024-09-19,85
2024-09-20,88
2024-09-21,84
2024-09-22,83
2024-09-23,89
2024-09-24,91
2024-09-25,93
2024-09-26,94
2024-09-27,91
2024-09-28,87
2024-09-29,88
2024-09-30,88
2024-10-01,87
2024-10-02,90
2024-10-03,86
2024-10-04,86
2024-10-05,87
2024-10-06,86
2024-10-07,83
2024-10-08,82
2024-10-09,89
2024-10-10,87
2024-10-11,84
2024-10-12,86
2024-10-13,86
2024-10-14,87
2024-10-15,88
2024-10-16,88
2024-10-17,91
2024-10-18,86
2024-10-19,89
2024-10-20,88
2024-10-21,86
2024-10-22,87
2024-10-23,85
2024-10-24,74
2024-10-25,75
2024-10-26,68
2024-10-27,79
2024-10-28,83
2024-10-29,86
2024-10-30,81
2024-10-31,73
2024-11-01,82
2024-11-02,73
2024-11-03,61
2024-11-04,59
2024-11-05,59
2024-11-06,57
2024-11-07,55
2024-11-08,58
2024-11-09,58
2024-11-10,56
2024-11-11,47
2024-11-12,52
2024-11-13,46
2024-11-14,45
2024-11-15,57
2024-11-16,64
2024-11-17,56
2024-11-18,47
2024-11-19,45
2024-11-20,47
2024-11-21,49
2024-11-22,53
2024-11-23,55
2024-11-24,54
2024-11-25,52
2024-11-26,42
2024-11-27,40
2024-11-28,37
2024-11-29,40
2024-11-30,42
2024-12-01,50
2024-12-02,54
2024-12-03,58
2024-12-04,63
2024-12-05,65
2024-12-06,62
2024-12-07,50
2024-12-08,49
2024-12-09,41
2024-12-10,49
2024-12-11,55
2024-12-12,58
2024-12-13,48
2024-12-14,42
2024-12-15,42
2024-12-16,45
2024-12-17,52
2024-12-18,58
2024-12-19,68
2024-12-20,72
2024-12-21,75
2024-12-22,77
2024-12-23,73
2024-12-24,62
2024-12-25,62
2024-12-26,65
2024-12-27,68
2024-12-28,67
2024-12-29,64
2024-12-30,59
2024-12-31,57
